Date,Open,High,Low,Close,SMA,RSI,Volume
2024-09-23,143.63800,144.66499,143.41200,143.63800,144.3515,46.4081,N/A
2024-09-22,144.00400,144.43900,143.19600,144.00400,144.4630,48.0059,N/A
2024-09-19,142.85800,144.47600,141.76300,142.85800,144.5643,42.2221,N/A
2024-09-18,142.71001,143.93500,142.06500,142.71001,144.7246,41.4409,N/A
2024-09-17,142.01500,142.05100,141.24400,142.01500,144.8384,37.7722,N/A
2024-09-16,140.78999,141.85001,140.32300,140.78999,144.9290,30.6625,N/A
2024-09-15,140.78999,140.89900,139.57800,140.78999,145.0957,30.6625,N/A
2024-09-12,141.49899,141.52699,140.36200,141.49899,145.2555,32.5165,N/A
2024-09-11,142.59000,143.01100,141.91299,142.59000,145.5122,35.5915,N/A
2024-09-10,142.23399,142.46800,140.71800,142.23399,145.7507,33.6915,N/A
2024-09-09,143.17700,143.67500,142.26199,143.17700,146.0985,36.3273,N/A
2024-09-08,142.48599,143.78600,142.44501,142.48599,146.4537,32.7472,N/A
2024-09-05,143.39300,143.84801,141.76500,143.39300,146.8422,35.1565,N/A
2024-09-04,143.32400,144.20399,142.85400,143.32400,147.1856,34.8178,N/A
2024-09-03,145.35300,145.53799,144.02699,145.35300,147.5379,40.6110,N/A
2024-09-02,146.72200,147.18800,145.16800,146.72200,147.8850,45.3372,N/A
2024-09-01,146.38100,147.11900,145.79601,146.38100,148.2240,43.8251,N/A
2024-08-29,144.89000,145.96201,144.70200,144.89000,148.5920,36.7178,N/A
2024-08-28,144.43300,145.52499,144.28301,144.43300,149.0007,34.3539,N/A
2024-08-27,143.97501,145.02499,143.91200,143.97501,149.3758,31.9898,N/A
2024-08-26,144.51601,145.15300,144.16499,144.51601,149.8550,33.3054,N/A
2024-08-25,144.00000,144.57899,143.46001,144.00000,150.3091,30.7842,N/A
2024-08-22,146.20200,146.47301,144.60500,146.20200,150.7862,36.2079,N/A
2024-08-21,145.11800,146.47000,144.94800,145.11800,151.1862,30.6203,N/A
2024-08-20,145.34700,146.33900,144.98100,145.34700,151.7358,31.1556,N/A
2024-08-19,146.69900,147.31900,145.53400,146.69900,152.2686,34.4582,N/A
2024-08-18,147.95599,147.95900,145.22099,147.95599,152.7406,37.9293,N/A
2024-08-15,149.22200,149.23000,147.63901,149.22200,153.1633,41.8743,N/A
2024-08-14,147.25301,149.26300,147.06300,147.25301,153.5678,31.6002,N/A
2024-08-13,146.97099,147.55200,146.08099,146.97099,154.0468,29.9536,N/A
2024-08-12,146.98200,147.92999,146.91100,146.98200,154.5312,29.9797,N/A
2024-08-11,147.04201,148.20100,146.69900,147.04201,155.0155,30.1128,N/A
2024-08-08,147.66901,147.73599,146.31200,147.66901,155.4777,31.4685,N/A
2024-08-07,146.12399,147.47501,145.47099,146.12399,155.9116,23.5981,N/A
2024-08-06,144.73200,147.82201,144.55400,144.73200,156.3949,15.4771,N/A
2024-08-05,145.78999,146.25700,144.06300,145.78999,156.8933,16.7323,N/A
2024-08-04,145.58400,145.91800,141.69701,145.58400,157.3565,15.4932,N/A
2024-08-01,149.20100,149.76401,146.42400,149.20100,157.8324,20.4565,N/A
2024-07-31,149.74400,150.85700,148.50501,149.74400,158.1568,21.4128,N/A
2024-07-30,152.67000,153.58099,149.66400,152.67000,158.4306,27.9504,N/A
2024-07-29,153.83299,155.19000,153.65601,153.83299,158.6039,31.4999,N/A
2024-07-28,154.13901,154.33701,153.06300,154.13901,158.7328,32.5086,N/A
2024-07-25,153.69701,154.73100,153.26199,153.69701,158.8464,29.4798,N/A
2024-07-24,153.89101,154.15100,151.96699,153.89101,158.9608,30.0291,N/A
2024-07-23,155.76800,155.97700,153.11099,155.76800,159.0577,36.0657,N/A
2024-07-22,156.89101,156.90300,155.82899,156.89101,159.1023,40.6001,N/A
2024-07-21,157.42200,157.60500,156.29900,157.42200,159.1073,42.9721,N/A
2024-07-18,157.14999,157.85500,156.97800,157.14999,159.0876,41.3420,N/A
2024-07-17,155.68600,156.98500,155.49699,155.68600,159.0392,31.5651,N/A
2024-07-16,158.35001,158.57800,156.11999,158.35001,159.0473,43.9401,N/A
2024-07-15,158.14101,158.84100,158.11301,158.14101,158.9398,42.2920,N/A
2024-07-14,158.31300,158.35800,157.75400,158.31300,158.8709,43.2640,N/A
2024-07-11,158.20100,159.37601,157.37900,158.20100,158.8332,42.4644,N/A
2024-07-10,161.60700,161.74699,157.48900,161.60700,158.7916,70.5343,N/A
2024-07-09,161.33099,161.74000,161.30000,161.33099,158.6583,68.9919,N/A
2024-07-08,160.85700,161.49499,160.74699,160.85700,158.5226,66.1679,N/A
2024-07-07,160.63800,161.10700,160.27200,160.63800,158.3889,64.7923,N/A
2024-07-04,161.35800,161.37199,160.44600,161.35800,158.2633,73.9750,N/A
2024-07-03,161.62100,161.58600,160.95500,161.62100,158.1171,77.7107,N/A
2024-07-02,161.50400,161.94200,160.86500,161.50400,157.9532,77.2358,N/A
2024-07-01,161.51199,161.73000,161.28500,161.51199,157.7781,77.3404,N/A
2024-06-30,160.90700,161.71500,160.81900,160.90700,157.6067,74.9584,N/A
2024-06-27,160.68700,161.24100,160.27699,160.68700,157.4350,74.0369,N/A
