Date,Exchange Rate
2017/6/15,110.952
2017/6/18,110.954
2017/6/19,111.673
2017/6/20,111.334
2017/6/21,111.31
2017/6/22,111.29
2017/6/25,111.239
2017/6/26,111.858
2017/6/27,112.188
2017/6/28,112.354
2017/6/29,112.009
2017/7/2,112.262
2017/7/3,113.386
2017/7/4,112.962
2017/7/5,113.187
2017/7/6,113.149
2017/7/9,113.985
2017/7/11,113.748
2017/7/12,113.335
2017/7/13,113.418
2017/7/16,112.397
2017/7/17,112.581
2017/7/18,111.995
2017/7/19,111.877
2017/7/20,111.885
2017/7/23,110.945
2017/7/24,111.232
2017/7/25,112.003
2017/7/26,111.128
2017/7/27,111.097
2017/7/30,110.51
2017/7/31,110.359
2017/8/1,110.432
2017/8/2,110.757
2017/8/3,109.9
2017/8/6,110.786
2017/8/7,110.75
2017/8/8,110.102
2017/8/9,110.049
2017/8/10,109.106
2017/8/13,109.23
2017/8/14,109.932
2017/8/15,110.596
2017/8/16,109.999
2017/8/17,109.328
2017/8/20,109.32
2017/8/21,108.944
2017/8/22,109.731
2017/8/23,108.91
2017/8/24,109.514
2017/8/27,109.346
2017/8/28,108.737
2017/8/29,109.79
2017/8/30,110.46
2017/8/31,110.129
2017/9/3,109.795
2017/9/4,109.81
2017/9/5,108.602
2017/9/6,109.134
2017/9/7,108.27
2017/9/10,108.231
2017/9/11,109.395
2017/9/12,110.226
2017/9/13,110.515
2017/9/14,109.919
2017/9/17,111.197
2017/9/18,111.496
2017/9/19,111.578
2017/9/20,112.546
2017/9/21,112.452
2017/9/24,112.444
2017/9/25,111.761
2017/9/26,112.377
2017/9/27,112.86
2017/9/28,112.467
2017/10/1,112.638
2017/10/2,112.77
2017/10/3,112.848
2017/10/4,112.823
2017/10/5,112.774
2017/10/8,112.551
2017/10/9,112.658
2017/10/10,112.345
2017/10/11,112.434
2017/10/12,112.239
2017/10/15,111.882
2017/10/16,112.195
2017/10/17,112.213
2017/10/18,113.013
2017/10/19,112.68
2017/10/22,114.048
2017/10/23,113.34
2017/10/24,113.946
2017/10/25,113.558
2017/10/26,114.124
2017/10/29,113.739
2017/10/30,112.996
2017/10/31,113.65
2017/11/1,114.152
2017/11/2,114.016
2017/11/5,114.178
2017/11/6,113.771
2017/11/7,113.761
